x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10]
0-year,2008-01-01,2.904,2.988966,3.12,3.29,3.45,3.63,3.81,4,4.2,4.405,None
1-year,2008-01-02,2.904,2.988966,3.12,3.29,3.45,3.63,3.81,4,4.2,4.405,None
2-year,2008-01-03,2.904,2.988966,3.12,3.29,3.45,3.63,3.81,4,4.2,4.405,None
3-year,2008-01-04,2.904,2.988966,3.12,3.29,3.45,3.63,3.81,4,4.2,4.405,None
4-year,2008-01-07,2.904,2.988966,3.12,3.29,3.45,3.63,3.81,4,4.2,4.405,None
5-year,2008-01-08,2.904,2.988966,3.12,3.29,3.45,3.63,3.81,4,4.2,4.405,None
6-year,2008-01-09,2.904,2.988966,3.12,3.29,3.45,3.63,3.81,4,4.2,4.405,None
7-year,2008-01-10,2.904,2.988966,3.12,3.29,3.45,3.63,3.81,4,4.2,4.405,None
8-year,2008-01-11,2.904,2.988966,3.0381,3.1548,3.2876,3.4151,3.5727,3.7106,3.854,4.0032,None
9-year,2008-01-14,2.904,2.988966,3.0381,3.1548,3.2876,3.4151,3.5727,3.7106,3.854,4.0032,None
10-year,2008-01-15,2.90068535,2.940543,3.0381,3.1548,3.2876,3.4151,3.5727,3.7106,3.854,4.0032,None
,2008-01-16,2.90068535,2.940543,3.0381,3.1548,3.2876,3.4151,3.5727,3.7106,3.854,4.0032,None
,2008-01-17,2.90068535,2.940543,3.0381,3.1548,3.2876,3.4151,3.5727,3.7106,3.854,4.0032,None
,2008-01-18,2.89722578,2.890765,3.0381,3.1548,3.2876,3.4151,3.5727,3.7106,3.854,4.0032,None
,2008-01-21,2.89722578,2.890765,3.0381,3.1548,3.2876,3.4151,3.5727,3.7106,3.854,4.0032,None
,2008-01-22,2.89722578,2.890765,3.0381,3.1548,3.2876,3.4151,3.5727,3.7106,3.854,4.0032,None
,2008-01-23,2.89722578,2.890765,2.8593,2.9662,3.0577,3.1513,3.1765,3.1819,3.2226,3.2521,None
,2008-01-24,2.89722578,2.890765,2.8593,2.9662,3.0577,3.1513,3.1765,3.1819,3.2226,3.2521,None
,2008-01-25,2.88946542,2.780864,2.8593,2.9662,3.0577,3.1513,3.1765,3.1819,3.2226,3.2521,None
,2008-01-28,2.88560408,2.728118,2.8593,2.9662,3.0577,3.1513,3.1765,3.1819,3.2226,3.2521,None
,2008-01-29,2.88560408,2.728118,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-01-30,2.88560408,2.728118,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-01-31,2.8866064,2.741568,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-01,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-04,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-05,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-06,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-07,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-08,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-11,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-12,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-13,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-14,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-15,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-18,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-19,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-20,2.88564619,2.728624,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-21,2.89544818,2.860178,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-22,2.89544818,2.860178,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-25,2.89258254,2.82,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-26,2.89339845,2.83129,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
,2008-02-27,2.89339845,2.83129,2.8425,2.9325,3.04,3.1375,3.21,3.2625,3.325,3.4,None
